tx	gene_id	CONTROL_REP1	CONTROL_REP2	CONTROL_REP3	CONTROL_REP4
FBtr0078119	FBgn0031229	935.636	1048.99	969.663	1048.718
FBtr0091612	FBgn0053635	443.871	557.299	477.701	557.056
FBtr0330652	FBgn0016977	20296.636	20409.99	20330.663	20409.718
FBtr0306341	FBgn0016977	17637.636	17750.99	17671.663	17750.718
FBtr0078122	FBgn0016977	17554.636	17667.99	17588.663	17667.718
FBtr0332336	FBgn0016977	19245.636	19358.99	19279.663	19358.718
FBtr0078121	FBgn0016977	19278.636	19391.99	19312.663	19391.718
FBtr0332337	FBgn0016977	16817.636	16930.99	16851.663	16930.718
FBtr0330653	FBgn0016977	18108.636	18221.99	18142.663	18221.718
FBtr0078123	FBgn0016977	18533.636	18646.99	18567.663	18646.718
FBtr0078124	FBgn0031231	577.689	691.008	611.696	690.751
FBtr0308246	FBgn0031232	964.636	1077.99	998.663	1077.718
FBtr0078146	FBgn0031232	933.636	1046.99	967.663	1046.718
FBtr0332338	FBgn0031233	2803.636	2916.99	2837.663	2916.718
FBtr0078125	FBgn0031233	2576.636	2689.99	2610.663	2689.718
FBtr0332339	FBgn0031233	2795.636	2908.99	2829.663	2908.718
FBtr0078145	FBgn0266557	7899.636	8012.99	7933.663	8012.718
FBtr0299837	FBgn0266557	18202.636	18315.99	18236.663	18315.718
FBtr0078144	FBgn0266557	17617.636	17730.99	17651.663	17730.718
FBtr0308255	FBgn0266557	17405.636	17518.99	17439.663	17518.718
FBtr0308254	FBgn0266557	17407.636	17520.99	17441.663	17520.718
FBtr0308253	FBgn0266557	17680.636	17793.99	17714.663	17793.718
FBtr0336984	FBgn0265151	134.527	200.222	131.606	202.115
FBtr0336985	FBgn0265153	864.636	977.99	898.663	977.718
FBtr0336986	FBgn0265152	235.526	342.857	261.564	343.517
FBtr0309764	FBgn0263465	15.193	8.342	14.336	10.276
FBtr0078126	FBgn0031235	1334.636	1447.99	1368.663	1447.718
FBtr0304343	FBgn0262252	4.789	4.568	3.602	4.893
FBtr0304344	FBgn0262252	22	22	22	22
FBtr0336987	FBgn0265149	578.688	692.008	612.696	691.751
FBtr0336990	FBgn0022246	779.636	892.99	813.663	892.718
FBtr0078143	FBgn0022246	655.665	768.997	689.671	768.75
FBtr0336989	FBgn0031238	1473.636	1586.99	1507.663	1586.718
FBtr0078141	FBgn0031238	1427.636	1540.99	1461.663	1540.718
FBtr0078140	FBgn0031238	1400.636	1513.99	1434.663	1513.718
FBtr0308252	FBgn0031239	7231.636	7344.99	7265.663	7344.718
FBtr0336988	FBgn0265150	428.979	542.34	462.701	542.131
FBtr0078142	FBgn0031239	3714.636	3827.99	3748.663	3827.718
FBtr0078127	FBgn0031240	2091.636	2204.99	2125.663	2204.718
FBtr0078139	FBgn0086912	1430.636	1543.99	1464.663	1543.718
FBtr0343777	FBgn0086856	533.73	647.055	567.696	646.772
FBtr0078128	FBgn0086856	504.769	618.17	538.696	617.821
FBtr0330649	FBgn0086855	1769.636	1882.99	1803.663	1882.718
FBtr0330648	FBgn0086855	1778.636	1891.99	1812.663	1891.718
FBtr0300804	FBgn0086855	1784.636	1897.99	1818.663	1897.718
FBtr0330650	FBgn0086855	2806.636	2919.99	2840.663	2919.718
FBtr0078129	FBgn0003444	3682.636	3795.99	3716.663	3795.718
FBtr0343780	FBgn0031244	1052.636	1165.99	1086.663	1165.718
FBtr0343779	FBgn0031244	751.636	864.99	785.663	864.718
FBtr0078137	FBgn0031244	825.636	938.99	859.663	938.718
FBtr0078136	FBgn0031245	1015.636	1128.99	1049.663	1128.718
FBtr0113009	FBgn0031245	1129.636	1242.99	1163.663	1242.718
FBtr0343778	FBgn0031245	1075.636	1188.99	1109.663	1188.718
FBtr0078135	FBgn0031245	669.654	782.997	703.671	782.738
FBtr0078134	FBgn0025686	1355.636	1468.99	1389.663	1468.718
FBtr0330647	FBgn0025686	1567.636	1680.99	1601.663	1680.718
FBtr0078130	FBgn0031247	423.017	536.384	456.701	536.147
FBtr0333408	FBgn0017457	1329.636	1442.99	1363.663	1442.718
FBtr0078133	FBgn0017457	935.636	1048.99	969.663	1048.718
FBtr0078131	FBgn0024352	1697.636	1810.99	1731.663	1810.718
FBtr0331205	FBgn0020622	2993.636	3106.99	3027.663	3106.718
FBtr0331208	FBgn0020622	4292.636	4405.99	4326.663	4405.718
FBtr0331207	FBgn0020622	3121.636	3234.99	3155.663	3234.718
FBtr0331206	FBgn0020622	3202.636	3315.99	3236.663	3315.718
FBtr0330673	FBgn0004611	4974.636	5087.99	5008.663	5087.718
FBtr0078047	FBgn0004611	5160.636	5273.99	5194.663	5273.718
FBtr0078049	FBgn0004611	7021.636	7134.99	7055.663	7134.718
FBtr0329830	FBgn0263872	334.705	446.946	366.766	446.839
FBtr0344144	FBgn0263872	486.777	600.186	520.697	599.836
FBtr0330674	FBgn0004611	5093.636	5206.99	5127.663	5206.718
FBtr0078048	FBgn0004611	5397.636	5510.99	5431.663	5510.718
FBtr0078050	FBgn0004611	6801.636	6914.99	6835.663	6914.718
FBtr0078099	FBgn0031248	572.692	686.008	606.696	685.764
FBtr0078098	FBgn0031249	644.667	758	678.671	757.75
FBtr0078052	FBgn0053127	665.654	778.997	699.671	778.75
FBtr0330695	FBgn0264086	1383.636	1496.99	1417.663	1496.718
FBtr0330696	FBgn0264086	2007.636	2120.99	2041.663	2120.718
FBtr0078096	FBgn0051921	2100.636	2213.99	2134.663	2213.718
FBtr0330651	FBgn0031250	1579.636	1692.99	1613.663	1692.718
FBtr0078095	FBgn0031250	1597.636	1710.99	1631.663	1710.718
FBtr0078094	FBgn0031250	1646.636	1759.99	1680.663	1759.718
FBtr0345774	FBgn0266907	903.636	1016.99	937.663	1016.718
FBtr0345775	FBgn0266906	520.745	634.079	554.696	633.799
FBtr0078053	FBgn0000061	1480.636	1593.99	1514.663	1593.718
FBtr0329831	FBgn0263871	160.512	247.821	169.262	249.066
FBtr0331204	FBgn0031251	3966.636	4079.99	4000.663	4079.718
FBtr0078093	FBgn0031251	4110.636	4223.99	4144.663	4223.718
FBtr0078054	FBgn0003278	3238.636	3351.99	3272.663	3351.718
FBtr0089488	FBgn0264855	4385.636	4498.99	4419.663	4498.718
FBtr0089489	FBgn0264855	3106.636	3219.99	3140.663	3219.718
FBtr0078055	FBgn0263933	3001.636	3114.99	3035.663	3114.718
FBtr0078090	FBgn0031252	893.636	1006.99	927.663	1006.718
FBtr0078056	FBgn0002593	280.089	390.867	309.982	391.127
FBtr0331932	FBgn0002593	442.875	556.303	476.701	556.056
FBtr0078089	FBgn0031253	239.072	346.747	265.503	347.34
FBtr0078057	FBgn0031254	341.522	453.902	373.756	453.732
FBtr0078058	FBgn0031255	1933.636	2046.99	1967.663	2046.718
FBtr0329832	FBgn0004583	6128.636	6241.99	6162.663	6241.718
FBtr0078059	FBgn0004583	6346.636	6459.99	6380.663	6459.718
FBtr0329833	FBgn0263870	248.043	356.49	275.363	357.05
FBtr0078087	FBgn0015924	2449.636	2562.99	2483.663	2562.718
FBtr0331233	FBgn0015924	2388.636	2501.99	2422.663	2501.718
FBtr0304741	FBgn0015924	1612.636	1725.99	1646.663	1725.718
FBtr0331232	FBgn0015924	1715.636	1828.99	1749.663	1828.718
FBtr0078088	FBgn0015924	1737.636	1850.99	1771.663	1850.718
FBtr0078060	FBgn0031256	1162.636	1275.99	1196.663	1275.718
FBtr0305350	FBgn0262510	192.972	293.882	212.623	294.933
FBtr0331230	FBgn0031257	2228.636	2341.99	2262.663	2341.718
FBtr0078061	FBgn0031257	2303.636	2416.99	2337.663	2416.718
FBtr0331231	FBgn0031257	2316.636	2429.99	2350.663	2429.718
FBtr0310035	FBgn0031258	5898.636	6011.99	5932.663	6011.718
FBtr0310034	FBgn0031258	6543.636	6656.99	6577.663	6656.718
FBtr0078062	FBgn0027592	2266.636	2379.99	2300.663	2379.718
FBtr0333013	FBgn0003963	5758.636	5871.99	5792.663	5871.718
FBtr0333012	FBgn0003963	3916.636	4029.99	3950.663	4029.718
FBtr0078083	FBgn0043364	1715.636	1828.99	1749.663	1828.718
FBtr0310030	FBgn0043364	2035.636	2148.99	2069.663	2148.718
FBtr0078084	FBgn0043364	2917.636	3030.99	2951.663	3030.718
FBtr0310027	FBgn0003963	4328.636	4441.99	4362.663	4441.718
FBtr0078063	FBgn0003963	4426.636	4539.99	4460.663	4539.718
FBtr0329895	FBgn0003963	4156.636	4269.99	4190.663	4269.718
FBtr0310028	FBgn0010602	1037.636	1150.99	1071.663	1150.718
FBtr0078082	FBgn0010602	968.636	1081.99	1002.663	1081.718
FBtr0310029	FBgn0010602	779.636	892.99	813.663	892.718
FBtr0078081	FBgn0010602	783.636	896.99	817.663	896.718
FBtr0078080	FBgn0031260	1410.636	1523.99	1444.663	1523.718
FBtr0344014	FBgn0005660	4135.636	4248.99	4169.663	4248.718
FBtr0078064	FBgn0031261	1206.636	1319.99	1240.663	1319.718
FBtr0112854	FBgn0005660	1277.636	1390.99	1311.663	1390.718
FBtr0078079	FBgn0005660	2097.636	2210.99	2131.663	2210.718
FBtr0345429	FBgn0005660	2566.636	2679.99	2600.663	2679.718
FBtr0078078	FBgn0260933	4698.636	4811.99	4732.663	4811.718
FBtr0303763	FBgn0260933	4982.636	5095.99	5016.663	5095.718
FBtr0078066	FBgn0031263	527.731	641.075	561.696	640.791
FBtr0078076	FBgn0031264	2390.636	2503.99	2424.663	2503.718
FBtr0332341	FBgn0031264	2367.636	2480.99	2401.663	2480.718
FBtr0332342	FBgn0031264	2454.636	2567.99	2488.663	2567.718
FBtr0345577	FBgn0031264	2857.636	2970.99	2891.663	2970.718
FBtr0078067	FBgn0031265	1984.636	2097.99	2018.663	2097.718
FBtr0078075	FBgn0021874	1258.636	1371.99	1292.663	1371.718
FBtr0078068	FBgn0031266	3829.636	3942.99	3863.663	3942.718
FBtr0332340	FBgn0031266	4020.636	4133.99	4054.663	4133.718
FBtr0078074	FBgn0031267	906.636	1019.99	940.663	1019.718
FBtr0310022	FBgn0031268	706.636	819.99	740.663	819.718
FBtr0078069	FBgn0031268	767.636	880.99	801.663	880.718
FBtr0333746	FBgn0013323	349.298	461.83	381.749	461.694
FBtr0346726	FBgn0013323	456.823	570.223	490.701	569.964
FBtr0346650	FBgn0013323	693.636	806.99	727.663	806.718
FBtr0078070	FBgn0023489	1554.636	1667.99	1588.663	1667.718
FBtr0343221	FBgn0010323	2036.636	2149.99	2070.663	2149.718
FBtr0343220	FBgn0010323	2036.636	2149.99	2070.663	2149.718
FBtr0078071	FBgn0031270	359.079	471.721	391.73	471.661
FBtr0310023	FBgn0031270	1168.636	1281.99	1202.663	1281.718
FBtr0343219	FBgn0263657	191.375	291.992	210.739	293.048
FBtr0310101	FBgn0263658	469.813	583.217	503.7	582.847
FBtr0308305	FBgn0040106	578.688	692.008	612.696	691.751
FBtr0343248	FBgn0266032	241.764	349.684	268.46	350.268
FBtr0343250	FBgn0266033	145.668	222.043	147.398	223.579
FBtr0077998	FBgn0040107	614.688	728.001	648.671	727.75
FBtr0077999	FBgn0031273	2223.636	2336.99	2257.663	2336.718
FBtr0345777	FBgn0266909	99.21	135.045	90.752	136.908
FBtr0078045	FBgn0000497	12101.636	12214.99	12135.663	12214.718
FBtr0343249	FBgn0000497	11808.636	11921.99	11842.663	11921.718
FBtr0344054	FBgn0266323	232.947	339.919	258.606	340.657
FBtr0078000	FBgn0011244	1877.636	1990.99	1911.663	1990.718
FBtr0301316	FBgn0026438	3072.636	3185.99	3106.663	3185.718
FBtr0301317	FBgn0026438	2843.636	2956.99	2877.663	2956.718
FBtr0078043	FBgn0026438	2731.636	2844.99	2765.663	2844.718
FBtr0343785	FBgn0031275	5665.636	5778.99	5699.663	5778.718
FBtr0308257	FBgn0031275	5404.636	5517.99	5438.663	5517.718
FBtr0343787	FBgn0031275	5661.636	5774.99	5695.663	5774.718
FBtr0301439	FBgn0031275	2033.636	2146.99	2067.663	2146.718
FBtr0343786	FBgn0031275	5307.636	5420.99	5341.663	5420.718
FBtr0078001	FBgn0031275	5140.636	5253.99	5174.663	5253.718
FBtr0346526	FBgn0031275	5474.636	5587.99	5508.663	5587.718
FBtr0342660	FBgn0265825	260.791	370.239	289.15	370.563
FBtr0078003	FBgn0031276	171.708	265.585	185.284	266.677
FBtr0078004	FBgn0040725	137.658	205.713	135.57	207.439
FBtr0078005	FBgn0031277	179.465	276.779	195.907	277.889
FBtr0078006	FBgn0041250	1894.636	2007.99	1928.663	2007.718
FBtr0331651	FBgn0041250	1100.636	1213.99	1134.663	1213.718
FBtr0078007	FBgn0031279	1497.636	1610.99	1531.663	1610.718
FBtr0331652	FBgn0031279	4033.636	4146.99	4067.663	4146.718
FBtr0078042	FBgn0000442	2257.636	2370.99	2291.663	2370.718
FBtr0345453	FBgn0266797	169.992	262.803	182.731	263.851
FBtr0078008	FBgn0051658	457.822	571.222	491.701	570.946
FBtr0078009	FBgn0086130	1406.636	1519.99	1440.663	1519.718
FBtr0332974	FBgn0031281	2081.636	2194.99	2115.663	2194.718
FBtr0078041	FBgn0031281	2090.636	2203.99	2124.663	2203.718
FBtr0078010	FBgn0031282	714.636	827.99	748.663	827.718
FBtr0332972	FBgn0031282	1778.636	1891.99	1812.663	1891.718
FBtr0078040	FBgn0031283	570.692	684.009	604.696	683.769
FBtr0078039	FBgn0031284	1044.636	1157.99	1078.663	1157.718
FBtr0078011	FBgn0015621	920.636	1033.99	954.663	1033.718
FBtr0305507	FBgn0031285	1405.636	1518.99	1439.663	1518.718
FBtr0301908	FBgn0031285	1244.636	1357.99	1278.663	1357.718
FBtr0078012	FBgn0031285	1325.636	1438.99	1359.663	1438.718
FBtr0100469	FBgn0031285	2523.636	2636.99	2557.663	2636.718
FBtr0078038	FBgn0031286	1207.636	1320.99	1241.663	1320.718
FBtr0332973	FBgn0010583	2499.636	2612.99	2533.663	2612.718
FBtr0078013	FBgn0010583	3409.636	3522.99	3443.663	3522.718
FBtr0078015	FBgn0010583	3257.636	3370.99	3291.663	3370.718
FBtr0078014	FBgn0010583	3292.636	3405.99	3326.663	3405.718
FBtr0302121	FBgn0020304	2817.636	2930.99	2851.663	2930.718
FBtr0302120	FBgn0020304	3660.636	3773.99	3694.663	3773.718
FBtr0302612	FBgn0020304	3192.636	3305.99	3226.663	3305.718
FBtr0078037	FBgn0020304	2346.636	2459.99	2380.663	2459.718
FBtr0334763	FBgn0020304	2299.636	2412.99	2333.663	2412.718
FBtr0334793	FBgn0264869	166.407	257.224	177.641	258.279
FBtr0334797	FBgn0031287	984.636	1097.99	1018.663	1097.718
FBtr0078034	FBgn0031287	919.636	1032.99	953.663	1032.718
FBtr0078016	FBgn0020545	994.636	1107.99	1028.663	1107.718
FBtr0334794	FBgn0020545	914.636	1027.99	948.663	1027.718
FBtr0078017	FBgn0031288	454.827	568.228	488.701	567.976
FBtr0334795	FBgn0031288	323.03	435.198	354.797	435.121
FBtr0334796	FBgn0031288	723.636	836.99	757.663	836.718
FBtr0345741	FBgn0266884	131.111	193.983	126.95	195.775
FBtr0304182	FBgn0262177	16.516	7.556	15.218	7.813
FBtr0304183	FBgn0262177	22	22	22	22
FBtr0078018	FBgn0031289	747.636	860.99	781.663	860.718
FBtr0078033	FBgn0029095	2596.636	2709.99	2630.663	2709.718
FBtr0078032	FBgn0029095	2577.636	2690.99	2611.663	2690.718
FBtr0078031	FBgn0029095	2700.636	2813.99	2734.663	2813.718
FBtr0114307	FBgn0086031	10.771	11.297	10.568	11.228
FBtr0078030	FBgn0020305	859.636	972.99	893.663	972.718
FBtr0091487	FBgn0053526	2313.636	2426.99	2347.663	2426.718
FBtr0332000	FBgn0053526	3704.636	3817.99	3738.663	3817.718
FBtr0091489	FBgn0053526	4492.636	4605.99	4526.663	4605.718
FBtr0091486	FBgn0053526	2405.636	2518.99	2439.663	2518.718
FBtr0345634	FBgn0031292	6746.636	6859.99	6780.663	6859.718
FBtr0078023	FBgn0002936	545.714	659.031	579.696	658.772
FBtr0332181	FBgn0031292	5737.636	5850.99	5771.663	5850.718
FBtr0345739	FBgn0266887	277.297	387.927	306.998	388.196
FBtr0345738	FBgn0002563	2423.636	2536.99	2457.663	2536.718
FBtr0078025	FBgn0002563	2279.636	2392.99	2313.663	2392.718
FBtr0078028	FBgn0003916	24.467	26.285	24.144	26.343
FBtr0345455	FBgn0266799	96.944	130.909	88.534	132.657
FBtr0334798	FBgn0264870	99.652	135.888	91.219	137.736
FBtr0336969	FBgn0046113	2678.636	2791.99	2712.663	2791.718
FBtr0077949	FBgn0028481	3834.636	3947.99	3868.663	3947.718
FBtr0305064	FBgn0028481	3475.636	3588.99	3509.663	3588.718
FBtr0343253	FBgn0266036	2591.636	2704.99	2625.663	2704.718
FBtr0301417	FBgn0031294	9495.636	9608.99	9529.663	9608.718
FBtr0332270	FBgn0031294	6322.636	6435.99	6356.663	6435.718
FBtr0301416	FBgn0031294	6396.636	6509.99	6430.663	6509.718
FBtr0077997	FBgn0031295	467.816	581.222	501.7	580.848
FBtr0301087	FBgn0031296	962.636	1075.99	996.663	1075.718
FBtr0077951	FBgn0031296	1042.636	1155.99	1076.663	1155.718
FBtr0077993	FBgn0003310	4880.636	4993.99	4914.663	4993.718
FBtr0077994	FBgn0003310	1941.636	2054.99	1975.663	2054.718
FBtr0077952	FBgn0015905	2419.636	2532.99	2453.663	2532.718
FBtr0077953	FBgn0031298	1750.636	1863.99	1784.663	1863.718
FBtr0332569	FBgn0031298	3749.636	3862.99	3783.663	3862.718
FBtr0332570	FBgn0031299	2789.636	2902.99	2823.663	2902.718
FBtr0332571	FBgn0031299	2584.636	2697.99	2618.663	2697.718
FBtr0332273	FBgn0261938	4392.636	4505.99	4426.663	4505.718
FBtr0077989	FBgn0261938	4163.636	4276.99	4197.663	4276.718
FBtr0077954	FBgn0031301	2940.636	3053.99	2974.663	3053.718
FBtr0077955	FBgn0031302	704.636	817.99	738.663	817.718
FBtr0077988	FBgn0016926	1753.636	1866.99	1787.663	1866.718
FBtr0332272	FBgn0016926	1804.636	1917.99	1838.663	1917.718
FBtr0077987	FBgn0016926	1654.636	1767.99	1688.663	1767.718
FBtr0077956	FBgn0031304	2375.636	2488.99	2409.663	2488.718
FBtr0077986	FBgn0031305	1441.636	1554.99	1475.663	1554.718
FBtr0077957	FBgn0031306	2210.636	2323.99	2244.663	2323.718
FBtr0332271	FBgn0031306	2381.636	2494.99	2415.663	2494.718
FBtr0346497	FBgn0267281	110.01	154.846	101.127	156.824
FBtr0077958	FBgn0031307	1703.636	1816.99	1737.663	1816.718
FBtr0077959	FBgn0031308	1302.636	1415.99	1336.663	1415.718
FBtr0077985	FBgn0031309	673.636	786.99	707.663	786.718
FBtr0077960	FBgn0031310	673.636	786.99	707.663	786.718
FBtr0100023	FBgn0261458	2723.636	2836.99	2757.663	2836.718
FBtr0332274	FBgn0261458	2096.636	2209.99	2130.663	2209.718
FBtr0100022	FBgn0261458	1714.636	1827.99	1748.663	1827.718
FBtr0331290	FBgn0264267	454.827	568.228	488.701	567.976
FBtr0331287	FBgn0031312	872.636	985.99	906.663	985.718
FBtr0077961	FBgn0031312	946.636	1059.99	980.663	1059.718
FBtr0077982	FBgn0031313	2291.636	2404.99	2325.663	2404.718
FBtr0077981	FBgn0031313	1681.636	1794.99	1715.663	1794.718
FBtr0331289	FBgn0031313	2024.636	2137.99	2058.663	2137.718
FBtr0077962	FBgn0031314	1599.636	1712.99	1633.663	1712.718
FBtr0077964	FBgn0031315	323.03	435.198	354.797	435.121
FBtr0304710	FBgn0024314	2266.636	2379.99	2300.663	2379.718
FBtr0077980	FBgn0024314	2403.636	2516.99	2437.663	2516.718
FBtr0344015	FBgn0024314	2420.636	2533.99	2454.663	2533.718
FBtr0077965	FBgn0051922	189.792	290.081	208.865	291.121
FBtr0077979	FBgn0031317	1475.636	1588.99	1509.663	1588.718
FBtr0077966	FBgn0031318	3005.636	3118.99	3039.663	3118.718
FBtr0331288	FBgn0031318	3098.636	3211.99	3132.663	3211.718
FBtr0335394	FBgn0031319	2792.636	2905.99	2826.663	2905.718
FBtr0308698	FBgn0031319	3455.636	3568.99	3489.663	3568.718
FBtr0077968	FBgn0031319	2866.636	2979.99	2900.663	2979.718
FBtr0344790	FBgn0031319	2867.636	2980.99	2901.663	2980.718
FBtr0335395	FBgn0031319	3630.636	3743.99	3664.663	3743.718
FBtr0077978	FBgn0031320	1341.636	1454.99	1375.663	1454.718
FBtr0077971	FBgn0031321	1240.636	1353.99	1274.663	1353.718
FBtr0307056	FBgn0031322	1567.636	1680.99	1601.663	1680.718
FBtr0335379	FBgn0031322	1429.636	1542.99	1463.663	1542.718
