Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
FBgn0263511	Vsx1	X	+	5594255	5612865	0.000000	0.000000	0.000000
FBgn0085464	CG34435	X	-	5613325	5614467	0.000000	0.000000	0.000000
FBgn0250904	CG34434	X	-	5614554	5616370	0.000000	0.000000	0.000000
FBgn0029778	RhoGAP5A	X	-	5616572	5618806	0.000000	0.000000	0.000000
FBgn0004687	Mlc-c	X	-	5619136	5622539	0.000000	0.000000	0.000000
FBgn0263631	mir-3645	X	-	5622280	5622416	0.000000	0.000000	0.000000
FBgn0026702	l(1)G0045	X	+	5622648	5625493	0.000000	0.000000	0.000000
FBgn0259994	CG42492	X	-	5625676	5648487	0.000000	0.000000	0.000000
FBgn0259150	CG42265	X	-	5650567	5662861	0.000000	0.000000	0.000000
FBgn0267076	CR45520	X	+	5663114	5665605	0.000000	0.000000	0.000000
FBgn0029783	Sirt4	X	-	5664628	5665940	0.000000	0.000000	0.000000
FBgn0028474	CG4119	X	+	5666052	5670652	0.000000	0.000000	0.000000
FBgn0015794	Rab18	X	-	5670827	5671812	0.000000	0.000000	0.000000
FBgn0029785	RpL35	X	+	5672401	5673547	0.000000	0.000000	0.000000
FBgn0046687	Tre1	X	-	5673830	5679977	0.000000	0.000000	0.000000
FBgn0003747	Gr5a	X	+	5680617	5682488	0.000000	0.000000	0.000000
FBgn0266263	CR44958	X	-	5680627	5682127	0.000000	0.000000	0.000000
FBgn0259926	CG42449	X	+	5683240	5684456	0.000000	0.000000	0.000000
FBgn0029789	CG3160	X	-	5685253	5689473	0.000000	0.000000	0.000000
FBgn0267081	CR45525	X	-	5689852	5691172	0.000000	0.000000	0.000000
FBgn0000394	cv	X	+	5690002	5693084	0.000000	0.000000	0.000000
FBgn0027564	CG3149	X	-	5692945	5695205	0.000000	0.000000	0.000000
FBgn0261927	CR42794	X	+	5697123	5697660	0.000000	0.000000	0.000000
FBgn0029791	CG4096	X	+	5698557	5708633	0.000000	0.000000	0.000000
FBgn0053080	CG33080	X	-	5708559	5717778	0.000000	0.000000	0.000000
FBgn0052758	CG32758	X	-	5719374	5738031	0.000000	0.000000	0.000000
FBgn0029795	CG15773	X	+	5732740	5734614	0.000000	0.000000	0.000000
FBgn0261383	IntS6	X	-	5738663	5747254	0.000000	0.000000	0.000000
FBgn0029798	CG4078	X	+	5747747	5752077	0.000000	0.000000	0.000000
FBgn0029799	CG15772	X	+	5752249	5754041	0.000000	0.000000	0.000000
FBgn0029800	lin-52	X	-	5753390	5754958	0.000000	0.000000	0.000000
FBgn0267084	CR45528	X	-	5755492	5756710	0.000000	0.000000	0.000000
FBgn0029801	CG15771	X	+	5755574	5759751	0.000000	0.000000	0.000000
FBgn0013987	MAPk-Ak2	X	-	5759908	5764203	0.000000	0.000000	0.000000
FBgn0261610	CG42699	X	+	5764553	5789576	0.000000	0.000000	0.000000
FBgn0029804	CG3097	X	-	5765855	5770780	0.000000	0.000000	0.000000
FBgn0259149	CG42264	X	-	5773023	5776647	0.000000	0.000000	0.000000
FBgn0029807	CG3108	X	-	5777195	5781620	0.000000	0.000000	0.000000
FBgn0029809	CG15767	X	+	5789487	5790919	0.000000	0.000000	0.000000
FBgn0263545	mir-4963	X	+	5790753	5790861	0.000000	0.000000	0.000000
FBgn0266095	CR44832	X	-	5790952	5791536	0.000000	0.000000	0.000000
FBgn0029810	CG12239	X	+	5792140	5794543	0.000000	0.000000	0.000000
FBgn0029811	Cpr5C	X	+	5804677	5805344	0.000000	0.000000	0.000000
FBgn0029812	Prosbeta2R1	X	+	5808954	5810158	0.000000	0.000000	0.000000
FBgn0267085	CR45529	X	+	5810492	5811006	0.000000	0.000000	0.000000
FBgn0265417	CG44329	X	-	5812273	5812977	0.000000	0.000000	0.000000
FBgn0029813	CG15766	X	-	5814864	5815820	0.000000	0.000000	0.000000
FBgn0029814	CG15765	X	+	5818559	5840823	0.000000	0.000000	0.000000
FBgn0262945	CR43264	X	-	5831898	5832215	0.000000	0.000000	0.000000
FBgn0052761	tRNA:CR32761:Psi	X	+	5832298	5832368	0.000000	0.000000	0.000000
FBgn0029816	CG12729	X	+	5845280	5846106	0.000000	0.000000	0.000000
FBgn0262610	CG43136	X	+	5853761	5854464	0.000000	0.000000	0.000000
FBgn0262611	CG43137	X	-	5864550	5865151	0.000000	0.000000	0.000000
FBgn0029817	CG15764	X	+	5869095	5870266	0.000000	0.000000	0.000000
FBgn0029818	GAA1	X	-	5870841	5873357	0.000000	0.000000	0.000000
FBgn0014340	mof	X	-	5873840	5876853	0.022893	0.623369	1.780248
FBgn0029819	CG3016	X	-	5877000	5879787	0.000000	0.000000	0.000000
FBgn0029820	CG16721	X	+	5879869	5883391	0.000000	0.000000	0.000000
FBgn0267228	CR45668	X	-	5882480	5899989	0.000000	0.000000	0.000000
FBgn0000042	Act5C	X	+	5900861	5905399	9156.500977	345114.500000	985595.312500
FBgn0029821	CG4020	X	+	5905746	5908001	0.599720	16.330175	46.636536
FBgn0029822	CG12236	X	+	5908135	5913079	0.000000	0.000000	0.000000
FBgn0029823	CG3011	X	-	5913067	5916797	0.000000	0.000000	0.000000
FBgn0264939	CR44108	X	+	5914385	5914622	0.000000	0.000000	0.000000
FBgn0029824	CG3726	X	+	5917097	5941852	0.000000	0.000000	0.000000
FBgn0029825	CG12728	X	+	5942606	5945250	0.000000	0.000000	0.000000
FBgn0052756	CG32756	X	+	5945682	5948353	0.000000	0.000000	0.000000
FBgn0029826	CG6041	X	+	5948160	5950208	0.000000	0.000000	0.000000
FBgn0052755	CG32755	X	+	5950251	5951711	0.000000	0.000000	0.000000
FBgn0029827	CG6048	X	+	5952565	5954046	0.000000	0.000000	0.000000
FBgn0029828	CG6067	X	+	5955629	5958283	0.000000	0.000000	0.000000
FBgn0005390	fs(1)M3	X	-	5958207	5964247	0.000000	0.000000	0.000000
FBgn0029830	Grip	X	+	5966279	5986699	0.000000	0.000000	0.000000
FBgn0029831	CG5966	X	+	5988791	5992640	0.000000	0.000000	0.000000
FBgn0027546	CG4766	X	-	5997508	6000797	0.000000	0.000000	0.000000
FBgn0265691	CR44498	X	+	6001511	6005713	0.000000	0.000000	0.000000
FBgn0029003	mab-21	X	-	6008183	6013181	0.000000	0.000000	0.000000
FBgn0265692	CR44499	X	+	6013708	6014019	0.000000	0.000000	0.000000
FBgn0003302	rux	X	-	6035753	6037800	0.000000	0.000000	0.000000
FBgn0029833	CG5941	X	+	6037892	6039576	0.000000	0.000000	0.000000
FBgn0029834	CG5937	X	+	6040005	6050381	0.000000	0.000000	0.000000
FBgn0029835	CG5921	X	+	6050828	6065646	0.000000	0.000000	0.000000
FBgn0262575	CG43115	X	-	6065729	6066416	0.000000	0.000000	0.000000
FBgn0029836	CG5928	X	+	6067958	6069264	0.000000	0.000000	0.000000
FBgn0029837	Tsp5D	X	-	6069131	6074857	0.000000	0.000000	0.000000
FBgn0029838	CG4666	X	-	6076072	6077786	0.000000	0.000000	0.000000
FBgn0029839	CG4660	X	-	6078708	6081372	0.000000	0.000000	0.000000
FBgn0029840	raptor	X	-	6082634	6090201	0.000000	0.000000	0.000000
FBgn0026060	Mipp2	X	-	6082709	6091471	0.000000	0.000000	0.000000
FBgn0266264	CR44959	X	+	6089878	6090648	0.000000	0.000000	0.000000
FBgn0029843	Nep1	X	+	6091205	6103971	0.000000	0.000000	0.000000
FBgn0264386	Ca-alpha1T	X	-	6104085	6192483	0.000000	0.000000	0.000000
FBgn0052750	CG32750	X	-	6194737	6196439	0.000000	0.000000	0.000000
FBgn0052751	CG32751	X	-	6196580	6198654	0.000000	0.000000	0.000000
FBgn0262536	CG43090	X	-	6199216	6199891	0.000000	0.000000	0.000000
FBgn0040069	vanin-like	X	-	6200188	6202559	0.000000	0.000000	0.000000
FBgn0029848	Btd	X	-	6217268	6219327	0.000000	0.000000	0.000000
FBgn0029849	Efr	X	+	6219957	6222719	0.000000	0.000000	0.000000
FBgn0264263	CR43763	2L	+	15846954	15847381	0.0	0.0	0.0
FBgn0085201	CG34172	2L	-	2192525	2197912	0.0	0.0	0.0
FBgn0053531	Ddr	2L	+	6253123	6323466	0.0	0.0	0.0
FBgn0042129	OS9	2L	-	19965664	19966510	0.0	0.0	0.0
FBgn0031220	CG4822	2L	-	116970	121754	0.0	0.0	0.0
FBgn0262148	CR42874	2L	+	1989450	1990894	0.0	0.0	0.0
FBgn0031471	CG3117	2L	-	2845926	2847212	0.0	0.0	0.0
FBgn0261566	CG42680	2L	-	14587920	14588234	0.0	0.0	0.0
FBgn0265947	CR44734	2L	-	16195000	16195321	0.0	0.0	0.0
FBgn0028889	tRNA:L:35C	2L	-	15132306	15132389	0.0	0.0	0.0
FBgn0032474	DnaJ-H	2L	-	13163209	13166072	0.0	0.0	0.0
FBgn0086442	mib2	2L	+	19034444	19041541	0.0	0.0	0.0
FBgn0032132	CG4382	2L	-	9598880	9600872	0.0	0.0	0.0
FBgn0053818	His3:CG33818	2L	+	21459447	21459975	0.0	0.0	0.0
FBgn0028412	Mst33A	2L	-	11585433	11586833	0.0	0.0	0.0
FBgn0031388	CG12674	2L	+	2079919	2081286	0.0	0.0	0.0
FBgn0032211	CG13138	2L	-	10299977	10302018	0.0	0.0	0.0
FBgn0031321	Tgt	2L	+	1184065	1185698	0.0	0.0	0.0
FBgn0259922	Skadu	2L	+	15547519	15548243	0.0	0.0	0.0
FBgn0265368	CR44309	2L	+	3562038	3563118	0.0	0.0	0.0
FBgn0031240	CG3345	2L	+	269088	271626	0.0	0.0	0.0
FBgn0040705	CG15434	2L	+	4454626	4455207	0.0	0.0	0.0
FBgn0028569	robl37BC	2L	+	19010866	19011532	0.0	0.0	0.0
FBgn0266827	CR45289	2L	+	5941995	5942584	0.0	0.0	0.0
FBgn0053745	snmRNA:430:CR33745	2L	+	21533323	21533358	0.0	0.0	0.0
FBgn0267726	CG46059	2L	-	19183093	19183787	0.0	0.0	0.0
FBgn0002856	Acp26Ab	2L	-	5892298	5892862	0.0	0.0	0.0
FBgn0086855	CG17078	2L	-	274740	278234	0.0	0.0	0.0
FBgn0000636	Fas3	2L	+	18320102	18393441	0.0	0.0	0.0
FBgn0015621	Clp	2L	+	819964	821209	0.0	0.0	0.0
FBgn0031395	CG10874	2L	-	2189914	2192386	0.0	0.0	0.0
FBgn0266323	CR44988	2L	+	710568	715307	0.0	0.0	0.0
FBgn0040106	lectin-21Cb	2L	-	620298	621201	0.0	0.0	0.0
FBgn0032646	CG6412	2L	-	17499268	17501106	0.0	0.0	0.0
FBgn0032922	CG9249	2L	-	21157433	21158611	0.0	0.0	0.0
FBgn0032612	CG13282	2L	-	16832065	16834502	0.0	0.0	0.0
FBgn0032189	Ripalpha	2L	-	10199401	10200974	0.0	0.0	0.0
FBgn0051619	CG31619	2L	+	21684106	21729051	0.0	0.0	0.0
FBgn0032312	CG14071	2L	-	10887645	10888927	0.0	0.0	0.0
FBgn0032938	CG8671	2L	+	21262956	21282790	0.0	0.0	0.0
FBgn0011584	Trp1	2L	+	10009381	10013170	0.0	0.0	0.0
FBgn0259749	mmy	2L	-	6468538	6473904	0.0	0.0	0.0
FBgn0032218	CG5381	2L	-	10317497	10323102	0.0	0.0	0.0
FBgn0259716	CG42370	2L	-	6383435	6385512	0.0	0.0	0.0
FBgn0265804	CR44593	2L	+	12086621	12088025	0.0	0.0	0.0
FBgn0262106	CR42859	2L	+	2245230	2247383	0.0	0.0	0.0
FBgn0265546	CR44396	2L	-	17245856	17246617	0.0	0.0	0.0
FBgn0262097	CR42850	2L	-	5379095	5381074	0.0	0.0	0.0
FBgn0053743	snmRNA:430:CR33743	2L	+	21523637	21523672	0.0	0.0	0.0
FBgn0250903	lmgA	2L	-	8524999	8528618	0.0	0.0	0.0
FBgn0032971	ttm3	2L	+	22079632	22080738	0.0	0.0	0.0
FBgn0001981	esg	2L	+	15333866	15336138	0.0	0.0	0.0
FBgn0040098	lectin-29Ca	2L	-	8393489	8394280	0.0	0.0	0.0
FBgn0032001	CG8360	2L	+	8212959	8214135	0.0	0.0	0.0
FBgn0032481	CG16972	2L	-	13197102	13203295	0.0	0.0	0.0
FBgn0265155	CR44224	2L	+	10506301	10507015	0.0	0.0	0.0
FBgn0266002	CR44776	2L	+	6551854	6552436	0.0	0.0	0.0
FBgn0020414	Idgf3	2L	+	16450907	16455194	0.0	0.0	0.0
FBgn0083973	CG34137	2L	+	22151623	22152640	0.0	0.0	0.0
FBgn0053815	His3:CG33815	2L	+	21454388	21454916	0.0	0.0	0.0
FBgn0264979	CG4267	2L	+	2242378	2245274	0.0	0.0	0.0
FBgn0032448	CG5781	2L	-	12696426	12697323	0.0	0.0	0.0
FBgn0032217	CG4972	2L	+	10314792	10317569	0.0	0.0	0.0
FBgn0053648	CG33648	2L	+	14524312	14525656	0.0	0.0	0.0
FBgn0263474	scaRNA:PsiU2-38.40.42	2L	-	21177040	21177176	0.0	0.0	0.0
FBgn0022023	eIF-3p40	2L	-	5051193	5053094	0.0	0.0	0.0
FBgn0041092	tai	2L	+	9166778	9250211	0.0	0.0	0.0
FBgn0031682	CG5828	2L	+	5093976	5095910	0.0	0.0	0.0
FBgn0265017	CR43751	2L	+	2181962	2185495	0.0	0.0	0.0
FBgn0266800	CR45262	2L	-	9261820	9262804	0.0	0.0	0.0
FBgn0001986	l(2)35Df	2L	+	15752263	15755900	0.0	0.0	0.0
FBgn0032900	CG14401	2L	+	20869854	20871565	0.0	0.0	0.0
FBgn0031643	CG3008	2L	+	4883298	4885669	0.0	0.0	0.0
FBgn0032685	CG10211	2L	+	18517487	18531967	0.0	0.0	0.0
FBgn0028467	CG11070	2L	+	6658517	6662033	0.0	0.0	0.0
FBgn0032647	CG15143	2L	-	17520892	17524549	0.0	0.0	0.0
FBgn0003557	Su(dx)	2L	+	2037714	2044372	0.0	0.0	0.0
FBgn0022213	Cas	2L	-	16821156	16825207	0.0	0.0	0.0
FBgn0032435	Oatp33Eb	2L	+	12448484	12452047	0.0	0.0	0.0
FBgn0031473	CG3104	2L	-	2848989	2855778	0.0	0.0	0.0
FBgn0053635	CG33635	2L	-	157836	158664	0.0	0.0	0.0
FBgn0265270	CR43239	2L	-	17353730	17354668	0.0	0.0	0.0
FBgn0020618	Rack1	2L	-	7825347	7827315	0.0	0.0	0.0
FBgn0032727	CG10623	2L	-	18955481	18957311	0.0	0.0	0.0
FBgn0003980	Vm26Ab	2L	+	5957004	5957639	0.0	0.0	0.0
FBgn0040984	CG4440	2L	+	16329925	16330521	0.0	0.0	0.0
FBgn0001174	halo	2L	-	1517533	1518148	0.0	0.0	0.0
FBgn0266829	CR45291	2L	-	5060473	5060806	0.0	0.0	0.0
FBgn0262876	CG43231	2L	+	17704681	17706142	0.0	0.0	0.0
FBgn0086041	snoRNA:Me18S-A469	2L	+	21143854	21143941	0.0	0.0	0.0
FBgn0025724	beta'COP	2L	+	13378902	13382382	0.0	0.0	0.0
FBgn0265810	CR44599	2L	-	13384822	13385403	0.0	0.0	0.0
FBgn0265943	CR44730	2L	+	14457113	14457338	0.0	0.0	0.0
FBgn0032131	CG3841	2L	+	9589476	9591783	0.0	0.0	0.0
FBgn0267327	Acp33A	2L	-	11591339	11591678	0.0	0.0	0.0
FBgn0261509	haf	2L	+	1555129	1608404	0.0	0.0	0.0
FBgn0262275	mir-2280	2L	-	1831685	1831799	0.0	0.0	0.0
FBgn0261648	salm	2L	-	11434311	11445614	0.0	0.0	0.0
FBgn0032482	Pect	2L	+	13203762	13210828	0.0	0.0	0.0
FBgn0032636	CG5043	2L	+	17433862	17435800	0.0	0.0	0.0
FBgn0031733	CG14006	2L	-	5726415	5728811	0.0	0.0	0.0
FBgn0051690	CG31690	2L	+	2677734	2719431	0.0	0.0	0.0
FBgn0032473	CG5204	2L	+	13160527	13163153	0.0	0.0	0.0
FBgn0265445	CR44345	2L	+	17354877	17355523	0.0	0.0	0.0
FBgn0020429	GluRIIB	2L	+	5559342	5563502	0.0	0.0	0.0
FBgn0032054	CG13090	2L	+	8517411	8519176	0.0	0.0	0.0
FBgn0031850	Tsp	2L	-	6686791	6709086	0.0	0.0	0.0
FBgn0031883	Caper	2L	+	7032721	7037878	0.0	0.0	0.0
FBgn0261268	Cul3	2L	-	15265245	15272024	0.0	0.0	0.0
FBgn0266317	CR44982	2L	-	2374955	2375582	0.0	0.0	0.0
FBgn0031432	Cyp309a1	2L	-	2562483	2564830	0.0	0.0	0.0
FBgn0267611	CR45949	2L	+	9948908	9951122	0.0	0.0	0.0
FBgn0086443	Aats-asn	2L	-	19129469	19131954	0.0	0.0	0.0
FBgn0263528	mir-4970	2L	+	10741885	10741987	0.0	0.0	0.0
FBgn0051669	tRNA:CR31669	2L	-	2013179	2013250	0.0	0.0	0.0
FBgn0040228	dyn-p25	2L	+	15005733	15006607	0.0	0.0	0.0
FBgn0267270	CR45706	2L	-	3264168	3265714	0.0	0.0	0.0
FBgn0031772	CG13994	2L	+	6062989	6063671	0.0	0.0	0.0
FBgn0031621	Elba3	2L	+	4687511	4688956	0.0	0.0	0.0
FBgn0032408	CG6712	2L	-	12095176	12096511	0.0	0.0	0.0
FBgn0032297	CG17124	2L	-	10744075	10756325	0.0	0.0	0.0
FBgn0264884	CR44075	2L	+	1872693	1873511	0.0	0.0	0.0
FBgn0010382	CycE	2L	-	15727581	15748150	0.0	0.0	0.0
FBgn0083023	snoRNA:Psi18S-640d	2L	+	20419626	20419756	0.0	0.0	0.0
FBgn0262620	CR43144	2L	+	21657625	21658249	0.0	0.0	0.0
FBgn0032231	CG5056	2L	+	10366692	10367946	0.0	0.0	0.0
FBgn0005617	msl-1	2L	-	18683720	18688800	0.0	0.0	0.0
FBgn0032361	CG6488	2L	-	11496804	11498948	0.0	0.0	0.0
FBgn0053856	His2A:CG33856	2L	+	21523498	21523990	0.0	0.0	0.0
FBgn0261882	l(2)35Bc	2L	-	15008489	15009724	0.0	0.0	0.0
FBgn0031684	CG8680	2L	-	5099177	5100288	0.0	0.0	0.0
FBgn0032791	CG18094	2L	+	19490262	19491679	0.0	0.0	0.0
FBgn0041719	snRNA:U4:25F	2L	+	5565619	5565766	0.0	0.0	0.0
FBgn0031813	CG9527	2L	-	6426724	6448403	0.0	0.0	0.0
FBgn0032236	mRpS7	2L	+	10386662	10387652	0.0	0.0	0.0
FBgn0051989	Cap-D3	2L	+	5525905	5535958	0.0	0.0	0.0
FBgn0261568	CG42682	2L	+	14842358	14843108	0.0	0.0	0.0
FBgn0053831	His1:CG33831	2L	+	21481345	21482367	0.0	0.0	0.0
FBgn0266902	CR45362	2L	-	21889758	21891095	0.0	0.0	0.0
FBgn0085395	Shawl	2L	-	9370309	9415156	0.0	0.0	0.0
FBgn0032813	CG10262	2L	-	19582823	19583990	0.0	0.0	0.0
FBgn0262857	CG43221	2L	+	17485780	17486005	0.0	0.0	0.0
FBgn0051897	CG31897	2L	+	8442447	8445815	0.0	0.0	0.0
FBgn0032663	CG15153	2L	-	18090737	18092256	0.0	0.0	0.0
FBgn0031868	Rat1	2L	+	6908083	6911423	0.0	0.0	0.0
FBgn0028903	CG13243	2L	+	15852592	15854110	0.0	0.0	0.0
FBgn0004009	wg	2L	+	7307159	7316265	0.0	0.0	0.0
FBgn0032280	CG17105	2L	+	10681030	10681775	0.0	0.0	0.0
FBgn0263355	CG31688	2L	+	20426199	20447905	0.0	0.0	0.0
FBgn0064225	RpL5	2L	-	22532279	22536884	0.0	0.0	0.0
FBgn0032262	CG7384	2L	-	10507859	10510453	0.0	0.0	0.0
FBgn0083026	snoRNA:Psi18S-640a	2L	+	20418523	20418654	0.0	0.0	0.0
FBgn0032222	CG5037	2L	+	10331471	10333129	0.0	0.0	0.0
FBgn0015521	RpS21	2L	+	2856070	2857029	0.0	0.0	0.0
FBgn0019809	gcm2	2L	+	9608562	9612706	0.0	0.0	0.0
FBgn0032884	Pomp	2L	+	20787656	20789098	0.0	0.0	0.0
FBgn0266215	CR44910	2L	-	21163871	21164271	0.0	0.0	0.0
FBgn0032433	Oatp33Ea	2L	-	12441401	12445924	0.0	0.0	0.0
FBgn0051874	CG31874	2L	-	10189820	10191496	0.0	0.0	0.0
FBgn0051647	CR31647	2L	-	5435582	5439277	0.0	0.0	0.0
FBgn0031617	CG15635	2L	+	4642972	4646562	0.0	0.0	0.0
FBgn0010407	Ror	2L	+	10251843	10254686	0.0	0.0	0.0
FBgn0264364	CG43816	2L	+	16004325	16005461	0.0	0.0	0.0
FBgn0045487	Gr36a	2L	+	17176618	17177921	0.0	0.0	0.0
FBgn0263314	CG43400	2L	+	8490739	8491360	0.0	0.0	0.0
FBgn0051822	CR31822	2L	-	15836725	15837444	0.0	0.0	0.0
FBgn0032359	Osi21	2L	-	11284327	11285706	0.0	0.0	0.0
FBgn0031559	CG3513	2L	-	3692699	3693182	0.0	0.0	0.0
FBgn0028945	CG7631	2L	+	15628678	15629552	0.0	0.0	0.0
FBgn0263658	CR43649	2L	-	608340	609134	0.0	0.0	0.0
FBgn0032340	Ge-1	2L	-	11095150	11100888	0.0	0.0	0.0
FBgn0265069	CR44180	2L	-	10680151	10680480	0.0	0.0	0.0
FBgn0028894	CG5869	2L	-	16301656	16302954	0.0	0.0	0.0
FBgn0065108	ppk16	2L	-	9771155	9773044	0.0	0.0	0.0
FBgn0031757	Ucp4C	2L	+	5968566	5969761	0.0	0.0	0.0
FBgn0016977	spen	2L	+	159032	203397	0.0	0.0	0.0
FBgn0028543	NimB2	2L	-	13965012	13967018	0.0	0.0	0.0
FBgn0032157	Etl1	2L	-	9908830	9912608	0.0	0.0	0.0
FBgn0011272	RpL13	2L	+	9967313	9968645	0.0	0.0	0.0
FBgn0032449	CG17036	2L	-	12698918	12700746	0.0	0.0	0.0
FBgn0031331	CG5440	2L	+	1334128	1335514	0.0	0.0	0.0
FBgn0266307	CR44972	2L	-	13288302	13289021	0.0	0.0	0.0
FBgn0028519	CG4500	2L	+	14027001	14029368	0.0	0.0	0.0
FBgn0266036	CR44801	2L	-	987899	991300	0.0	0.0	0.0
FBgn0032398	CG6766	2L	-	12038631	12040689	0.0	0.0	0.0
FBgn0266154	CR44860	2L	-	15399560	15399858	0.0	0.0	0.0
FBgn0031885	Mnn1	2L	+	7056301	7063586	0.0	0.0	0.0
FBgn0028490	CG31705	2L	-	11523021	11528205	0.0	0.0	0.0
FBgn0031295	CG4375	2L	-	1026105	1026897	0.0	0.0	0.0
FBgn0083033	snoRNA:Psi18S-525f	2L	+	20419774	20419908	0.0	0.0	0.0
FBgn0051708	CG31708	2L	-	9051631	9071164	0.0	0.0	0.0
FBgn0011559	Acp36DE	2L	-	18356047	18359026	0.0	0.0	0.0
FBgn0263094	CG43362	2L	-	18291253	18291462	0.0	0.0	0.0
FBgn0261671	tweek	2L	+	16888490	16917052	0.0	0.0	0.0
FBgn0003983	Vm34Ca	2L	-	13411141	13411631	0.0	0.0	0.0
FBgn0267284	CR45720	2L	-	4240014	4240820	0.0	0.0	0.0
FBgn0264085	CR43754	2L	-	2283705	2285003	0.0	0.0	0.0
FBgn0032016	CG7818	2L	+	8308427	8309961	0.0	0.0	0.0
FBgn0085204	CG34175	2L	+	3398023	3398684	0.0	0.0	0.0
FBgn0001965	Sos	2L	+	13813816	13819824	0.0	0.0	0.0
FBgn0051680	CG31680	2L	+	20640121	20640718	0.0	0.0	0.0
FBgn0031908	CG5177	2L	+	7405227	7408600	0.0	0.0	0.0
FBgn0028844	CG15283	2L	-	14450282	14450922	0.0	0.0	0.0
FBgn0031782	WDR79	2L	-	6125879	6127775	0.0	0.0	0.0
FBgn0023090	dtr	2L	+	21361216	21367288	0.0	0.0	0.0
FBgn0053179	beat-IIIb	2L	+	16973091	16993984	0.0	0.0	0.0
FBgn0051954	CG31954	2L	-	3509058	3510102	0.0	0.0	0.0
FBgn0259956	Sfp24C1	2L	+	3700674	3701092	0.0	0.0	0.0
FBgn0265807	CR44596	2L	+	12581445	12582858	0.0	0.0	0.0
FBgn0265682	CR44489	2L	-	18313521	18314051	0.0	0.0	0.0
